                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
case id	qb1c                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
201166	50 would be plenty                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
201167	"sometimes the programs get ""lost"""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
201168	you have to really look at the program before you put money                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
201170	i think that preventing 1 in 10 is a pretty good track record                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
201171	we shouldn't concentrate on specifics so much                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
201173	no money                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
201174	"i think that is something the police need to be taking care of, not me"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
201175	same reason as before                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
201176	i would not have the money to part with                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
201177	"same thing, if it prevents one, it might increase"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
201178	because im sing le and work for a kliving                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
201179	not his resp.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
201181	he lives in the suburb                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
201182	If the program is successful I support                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
201183	thats why you pay taxes                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
201185	Because it doesn;t do any good all the government programs don;t work. It wage of money.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
201188	taxes                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
201191	i don't really knwo why                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
201192	i pay taxes and it should be payed by the government with them                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
201197	help her community                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
201198	if the program works                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
201200	Same Reason                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
201203	I think the govt should pick up the bill and the citizen should not                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
201205	i think taxes are high enough as they are. i can't afford to pay that much more. i think they should spend the moeny the already have better.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
201209	Anything that stop assault & murders Iam willing to pay money for.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
201210	can't afford it --am not able                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
201212	Same to the other question                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
201213	the program appeared to be somewhat successful and we are all in favor of reducing crime; it seemed like money well spent                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
201214	i think that type of crime on people needs to be prevented                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
201217	I don;t know where the money is going                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
201218	These Assults around here are around the bars and it's people putting themselves in these s9ituations                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
201219	pay enough in taxes                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
201222	"you have to stop crime one way or another, if we all put in a little it would help for more police and less crime"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
201225	I can;t really say. But I need to see what they do what have given already before I give more money.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
201230	Well Because i think IAn )Z. Of provention is worthi t you  doing more with you money                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
201233	because they waste money here in [state name] until they can get it on the news they set up a sting around the block from my house arrestted all these teens took them to juvie and set them free that night                                                                                                                                                                                                                                                                                                                                                                                                                                              
201234	same thing---willing to help community                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
201235	everybody has the right be save when you are in your community                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
201236	again because I contribute where I can                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
201237	I just feel like 150 is the maximum for me personally that I could afford                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
201240	pay taxes dont have extra money                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
201241	"taxes should pay for these programs, if were paying money it means that they aren't"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
201243	it sounds like this is a successful program and not in need of more funding                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
201246	i think that if we invest in prevention in our youth we would not have as many 28 yr. old felons                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
201252	i am contributing enough already                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
201253	it is for a good cause                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
201254	Espesially if it helped prevent our kids from growing up violent                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
201255	Cause I am paying taxes and we are paying adquate now.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
201256	Finanacially                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
201258	Cause IT's To much and i have tomany family members in the house                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
201261	because assult is terrible i don't want it happening to me                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
201263	I believe that serious crimes should be avoided at all costs nd should be strictly punished                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
201264	"not a good sucess ratio, sometimes its not worth the money"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
201267	its taking food of my table                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
201268	100 is enough                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
201269	if you can prevent assaults it is worth it                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
201273	the same Reason prevention                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
201274	"so that maybe they will catch 4 out of ten, usually the more the better"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
201275	i cannot afford it with my kids                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
201276	taxes                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
201281	that's why you hire police; to control crime                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
201282	.just to well i think the murder and assaults are a lot scarier                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
201283	I PAY alot of tax and that                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
201285	cause its in the newspaper seems to be a lot of assault                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
201286	I don't know--probably because I don't have it                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
201287	not good turnaround                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
201288	i don't have that amount of money to contribute towards the program                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
201289	because I have to pay out enough for my own family                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
201297	"basicly for the same reason,. if it is prevent a violednt crime and peole fro m getting hurt"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
201298	"there is crime, that could mean a lot, it could save my life, family friends and i am willing to invest that money to protect them"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
201300	same reason                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
